NCBI Accession,type,proportion,number of bp
CP026324.1,prokaryote,9.26E-06,185.2649275
CP026325.1,prokaryote,9.55E-06,191.0336558
CP026326.1,prokaryote,9.70E-06,193.9180199
CP026328.1,prokaryote,4.87E-05,974.6932053
CP026379.1,prokaryote,6.91E-06,138.2276046
CP026383.1,prokaryote,4.87E-05,973.1400862
CP026386.1,prokaryote,7.03E-05,1406.904078
CP026387.1,prokaryote,6.04E-05,1207.661078
CP026392.1,prokaryote,8.64E-06,172.8399743
CP026399.1,prokaryote,2.10E-05,420.0077937
CP026406.1,prokaryote,3.34E-05,668.5068581
CP026412.1,prokaryote,0.000200685,4013.703639
CP026420.1,prokaryote,0.000160082,3201.644196
CP026533.1,prokaryote,2.85E-05,569.5509807
CP026544.1,prokaryote,9.83E-05,1965.361351
CP026569.1,prokaryote,2.23E-06,44.5967071
CP026571.1,prokaryote,6.64E-05,1328.804372
CP026580.1,prokaryote,2.20E-06,43.9310846
CP026581.1,prokaryote,4.97E-05,993.5525093
CP026586.1,prokaryote,6.49E-06,129.7963863
CP026591.1,prokaryote,0.000191766,3835.31681
CP026592.1,prokaryote,4.14E-05,827.36876
CP026593.1,prokaryote,4.18E-05,835.7999783
CP026594.1,prokaryote,7.16E-05,1432.863355
CP026595.1,prokaryote,4.47E-05,893.2653869
CP026596.1,prokaryote,4.09E-05,818.7156676
CP026597.1,prokaryote,4.20E-05,840.9030841
CP026598.1,prokaryote,4.18E-05,835.3562299
CP026599.1,prokaryote,4.11E-05,821.1562834
CP026606.1,prokaryote,0.000132193,2643.852546
CP026609.1,prokaryote,6.63E-06,132.6807505
CP026610.1,prokaryote,4.46E-05,892.8216386
CP026612.1,prokaryote,1.26E-06,25.29365477
CP026613.1,prokaryote,0.000155134,3102.688319
CP026614.1,prokaryote,0.000160115,3202.309819
CP026615.1,prokaryote,0.000156832,3136.635066
CP026616.1,prokaryote,0.000112279,2245.588421
CP026647.1,prokaryote,8.19E-06,163.7431335
CP026648.1,prokaryote,1.82E-06,36.387363
CP026649.1,prokaryote,0.000110105,2202.101084
CP026652.1,prokaryote,5.78E-05,1156.63002
CP026660.1,prokaryote,2.46E-06,49.25606455
CP026670.1,prokaryote,3.82E-05,764.3564973
CP026674.1,prokaryote,5.17E-05,1034.155481
CP026675.1,prokaryote,4.78E-05,956.2776497
CP026676.1,prokaryote,4.27E-05,853.3280373
CP026677.1,prokaryote,3.74E-05,747.9378091
CP026680.1,prokaryote,8.78E-06,175.5024642
CP026681.1,prokaryote,0.000370807,7416.143954
CP026692.1,prokaryote,0.000330504,6610.075114
CP026697.1,prokaryote,4.84E-05,967.3713579
CP026700.1,prokaryote,1.76E-06,35.27799218
CP026702.1,prokaryote,2.43E-05,486.3481689
CP026704.1,prokaryote,0.000129719,2594.374607
CP026707.1,prokaryote,7.09E-06,141.7775912
CP026709.1,prokaryote,4.53E-05,905.2465918
CP026711.1,prokaryote,2.96E-05,592.1821455
CP026715.1,prokaryote,4.22E-05,844.4530707
CP026719.1,prokaryote,2.47E-05,494.557513
CP026723.1,prokaryote,1.13E-05,226.311648
CP026731.1,prokaryote,4.23E-06,84.53405674
CP026743.1,prokaryote,1.31E-05,262.0333885
CP026744.1,prokaryote,3.05E-05,609.4883303
CP026746.1,prokaryote,5.75E-05,1150.417544
CP026747.1,prokaryote,6.21E-05,1242.93907
CP026750.1,prokaryote,6.16E-06,123.1401614
CP026751.1,prokaryote,4.25E-06,84.97780506
CP026755.1,prokaryote,1.17E-05,233.8553696
CP026756.1,prokaryote,2.72E-05,543.3698293
CP026761.1,prokaryote,2.24E-05,448.8514351
CP026762.1,prokaryote,4.64E-06,92.74340083
CP026765.1,prokaryote,2.94E-06,58.79665363
CP026766.1,prokaryote,4.53E-06,90.52465918
CP026768.1,prokaryote,2.97E-06,59.46227613
CP026774.1,prokaryote,3.69E-06,73.88409683
CP026776.1,prokaryote,3.55E-06,70.99973269
CP026777.1,prokaryote,3.11E-06,62.1247661
CP026780.1,prokaryote,2.53E-06,50.58730954
CP026782.1,prokaryote,6.63E-06,132.6807505
CP026784.1,prokaryote,3.08E-06,61.68101778
CP026786.1,prokaryote,3.08E-06,61.68101778
CP026788.1,prokaryote,3.13E-06,62.56851443
CP026792.1,prokaryote,2.97E-06,59.46227613
CP026793.1,prokaryote,2.83E-06,56.57791199
CP026795.1,prokaryote,3.46E-06,69.22473937
CP026797.1,prokaryote,2.84E-06,56.79978615
CP026799.1,prokaryote,4.26E-06,85.19967923
CP026802.1,prokaryote,4.34E-06,86.75279838
CP026803.1,prokaryote,4.50E-06,90.08091085
CP026805.1,prokaryote,2.87E-06,57.46540865
CP026807.1,prokaryote,3.00E-06,59.90602446
CP026810.1,prokaryote,5.68E-06,113.5995723
CP026811.1,prokaryote,4.43E-06,88.5277917
CP026814.1,prokaryote,2.77E-06,55.46854116
CP026815.1,prokaryote,2.57E-06,51.4748062
CP026819.1,prokaryote,2.63E-06,52.58417702
CP026823.1,prokaryote,2.60E-06,51.91855453
CP026824.1,prokaryote,7.12E-06,142.4432137
CP026825.1,prokaryote,3.08E-06,61.68101778
CP026827.1,prokaryote,8.51E-06,170.1774843
CP026828.1,prokaryote,3.73E-06,74.54971933
CP026831.1,prokaryote,1.54E-05,308.4050889
CP026832.1,prokaryote,2.46E-06,49.25606455
CP026834.1,prokaryote,2.24E-06,44.81858126
CP026836.1,prokaryote,1.74E-05,347.0111935
CP026839.1,prokaryote,4.91E-06,98.29025494
CP026840.1,prokaryote,4.63E-06,92.52152666
CP026842.1,prokaryote,3.96E-06,79.20907678
CP026845.1,prokaryote,6.50E-06,130.0182605
CP026846.1,prokaryote,8.55E-06,171.064981
CP026847.1,prokaryote,6.65E-05,1329.691869
CP026877.1,prokaryote,9.92E-06,198.3555032
CP026878.1,prokaryote,2.82E-06,56.35603782
CP026880.1,prokaryote,6.32E-05,1263.795242
CP026881.1,prokaryote,8.30E-05,1660.949997
CP026923.1,prokaryote,3.49E-05,698.016122
CP026924.1,prokaryote,5.61E-05,1122.905147
CP026925.1,prokaryote,4.72E-05,944.518319
CP026960.1,prokaryote,3.77E-06,75.43721598
CP027022.1,prokaryote,4.46E-05,892.8216386
CP027027.1,prokaryote,8.80E-06,175.9462126
CP027035.1,prokaryote,8.11E-06,162.1900144
CP027105.1,prokaryote,4.17E-06,83.42468591
CP027126.1,prokaryote,3.22E-06,64.34350775
CP027134.1,prokaryote,5.45E-06,108.9402148
CP027140.1,prokaryote,3.83E-06,76.54658681
CP027142.1,prokaryote,3.22E-05,643.4350775
CP027146.1,prokaryote,2.92E-06,58.35290531
CP027160.1,prokaryote,1.54E-06,30.84050889
CP027165.1,prokaryote,3.29E-06,65.8966269
CP027166.1,prokaryote,5.87E-06,117.3714331
CP027169.1,prokaryote,5.49E-05,1097.389618
CP027171.1,prokaryote,4.53E-06,90.52465918
CP027172.1,prokaryote,5.48E-06,109.6058373
CP027174.1,prokaryote,6.55E-06,130.9057571
CP027177.1,prokaryote,6.40E-05,1280.879553
CP027188.1,prokaryote,8.71E-05,1741.490318
CP027189.1,prokaryote,4.77E-06,95.4058908
CP027190.1,prokaryote,8.26E-05,1652.518778
CP027194.1,prokaryote,9.83E-05,1966.692596
CP027205.1,prokaryote,5.08E-06,101.6183674
CP027206.1,prokaryote,7.78E-06,155.5337894
CP027207.1,prokaryote,7.13E-06,142.6650879
CP027208.1,prokaryote,6.68E-06,133.5682471
CP027209.1,prokaryote,6.96E-06,139.1151012
CP027210.1,prokaryote,6.70E-06,134.0119955
CP027211.1,prokaryote,6.48E-06,129.5745122
CP027212.1,prokaryote,7.02E-06,140.4463462
CP027213.1,prokaryote,7.06E-06,141.1119687
CP027214.1,prokaryote,6.41E-06,128.2432672
CP027215.1,prokaryote,6.60E-06,132.015128
CP027216.1,prokaryote,7.29E-06,145.7713262
CP027217.1,prokaryote,8.13E-06,162.6337627
CP027224.1,prokaryote,0.000387692,7753.836432
CP027226.1,prokaryote,0.000179796,3595.914587
CP027227.1,prokaryote,0.000212633,4252.662114
CP027228.1,prokaryote,0.000132315,2646.293162
CP027246.1,prokaryote,1.85E-05,369.8642325
CP027250.1,prokaryote,5.33E-05,1065.439739
CP027254.1,prokaryote,4.90E-05,980.905682
CP027255.1,prokaryote,9.93E-06,198.5773774
CP027287.1,prokaryote,6.53E-05,1305.729459
CP027526.1,prokaryote,4.35E-05,869.7467255
CP027527.1,prokaryote,4.35E-05,869.3029771
CP027528.1,prokaryote,2.29E-05,458.17015
CP027533.1,prokaryote,2.07E-05,414.0171913
CP027534.1,prokaryote,2.86E-06,57.24353448
CP027538.1,prokaryote,8.83E-06,176.6118351
CP027539.1,prokaryote,1.98E-05,395.6016356
CP027540.1,prokaryote,3.39E-05,678.0474472
CP027543.1,prokaryote,9.40E-05,1879.274175
CP027704.1,prokaryote,2.87E-05,574.6540865
CP027770.1,prokaryote,0.000163621,3272.422055
LT578453.1,prokaryote,4.53E-05,906.799711
LT598653.1,prokaryote,4.65E-05,929.4308758
LT603678.1,prokaryote,1.27E-05,253.6021702
LT634361.1,prokaryote,0.000355454,7109.07011
LT671674.1,prokaryote,6.84E-05,1368.076099
LT671858.1,prokaryote,9.52E-05,1903.236584
LT699704.1,prokaryote,8.41E-06,168.1806168
LT883142.1,prokaryote,5.88E-06,117.5933073
LT897797.1,prokaryote,3.09E-05,617.6976744
LT897798.1,prokaryote,1.29E-05,258.9271502
LT904885.1,prokaryote,2.11E-06,42.15609129
LT905060.1,prokaryote,2.42E-06,48.3685679
LT905141.1,prokaryote,2.10E-06,41.93421712
LT906621.1,prokaryote,1.97E-05,393.1610198
LT960781.1,prokaryote,3.22E-05,643.6569517
LT962688.1,prokaryote,3.24E-05,647.4288125
LT962910.1,prokaryote,1.51E-06,30.17488639
LT962911.1,prokaryote,8.32E-07,16.64056235
LT962912.1,prokaryote,1.22E-06,24.40615811
LT962913.1,prokaryote,9.10E-07,18.1936815
LT962914.1,prokaryote,1.66E-06,33.2811247
LT962915.1,prokaryote,8.65E-07,17.30618484
LT962916.1,prokaryote,1.36E-06,27.29052225
LT962917.1,prokaryote,1.05E-06,21.07804564
LT962918.1,prokaryote,1.82E-06,36.387363
LT962919.1,prokaryote,8.43E-07,16.86243651
LT962920.1,prokaryote,1.69E-06,33.72487303
LT962921.1,prokaryote,9.98E-07,19.96867482
LT962922.1,prokaryote,1.33E-06,26.62489976
LT962923.1,prokaryote,1.02E-06,20.41242315
LT962924.1,prokaryote,1.48E-06,29.5092639
LT962925.1,prokaryote,8.32E-07,16.64056235
LT962926.1,prokaryote,1.41E-06,28.17801891
LT962927.1,prokaryote,7.88E-07,15.75306569
LT962928.1,prokaryote,1.48E-06,29.5092639
LT962929.1,prokaryote,9.10E-07,18.1936815
LT962930.1,prokaryote,1.18E-06,23.51866145
LT962931.1,prokaryote,9.76E-07,19.52492649
LT962932.1,prokaryote,1.60E-06,31.94987971
LT962933.1,prokaryote,9.43E-07,18.859304
LT962934.1,prokaryote,1.50E-06,29.95301223
LT962935.1,prokaryote,1.11E-06,22.18741647
LT962936.1,prokaryote,1.48E-06,29.5092639
LT962937.1,prokaryote,1.05E-06,21.07804564
LT962938.1,prokaryote,1.68E-06,33.50299886
LT962939.1,prokaryote,1.11E-06,22.18741647
LT962940.1,prokaryote,1.38E-06,27.51239642
LT962941.1,prokaryote,7.99E-07,15.97493986
LT962943.1,prokaryote,1.54E-06,30.84050889
LT962944.1,prokaryote,9.65E-07,19.30305233
LT962945.1,prokaryote,1.38E-06,27.51239642
LT962946.1,prokaryote,8.10E-07,16.19681402
LT962947.1,prokaryote,1.94E-06,38.82797882
LT962948.1,prokaryote,9.10E-07,18.1936815
LT962949.1,prokaryote,1.64E-06,32.83737637
LT962950.1,prokaryote,9.10E-07,18.1936815
LT962951.1,prokaryote,1.77E-06,35.49986635
LT962952.1,prokaryote,9.76E-07,19.52492649
LT962953.1,prokaryote,1.73E-06,34.61236969
LT962954.1,prokaryote,7.65E-07,15.30931736
LT963348.1,prokaryote,1.81E-06,36.16548884
LT963349.1,prokaryote,7.21E-07,14.4218207
LT963350.1,prokaryote,1.72E-06,34.39049552
LT963351.1,prokaryote,9.10E-07,18.1936815
LT969520.1,prokaryote,8.53E-06,170.6212326
NZ_AP013035.1,prokaryote,0.000126246,2524.927994
NZ_AP013042.1,prokaryote,8.06E-05,1611.02831
NZ_AP014563.1,prokaryote,2.47E-05,494.557513
NZ_AP014564.1,prokaryote,0.000171353,3427.068347
NZ_AP014596.1,prokaryote,1.19E-05,237.6272303
NZ_AP014597.1,prokaryote,0.000115319,2306.381942
NZ_AP014598.1,prokaryote,4.86E-05,971.3650929
NZ_AP014609.1,prokaryote,6.75E-05,1349.216795
NZ_AP014623.1,prokaryote,5.28E-05,1056.564772
NZ_AP014635.1,prokaryote,0.000164664,3293.278226
NZ_AP014636.1,prokaryote,7.90E-05,1579.07843
NZ_AP014690.1,prokaryote,5.24E-05,1048.355428
NZ_AP014809.1,prokaryote,4.72E-05,944.2964448
NZ_AP014836.1,prokaryote,0.000121776,2435.512705
NZ_AP014854.2,prokaryote,1.92E-05,384.5079274
NZ_AP014855.1,prokaryote,4.06E-05,812.0594427
NZ_AP014856.1,prokaryote,3.06E-05,611.4851978
NZ_AP014857.1,prokaryote,2.99E-05,597.9508738
NZ_AP014862.1,prokaryote,8.24E-05,1648.746918
NZ_AP014879.1,prokaryote,8.36E-05,1671.821831
NZ_AP014880.1,prokaryote,7.75E-05,1549.79104
NZ_AP014881.1,prokaryote,4.93E-05,986.8962844
NZ_AP014921.1,prokaryote,4.65E-06,92.96527499
NZ_AP014924.1,prokaryote,4.13E-05,826.2593892
NZ_AP014925.1,prokaryote,7.27E-05,1453.497653
NZ_AP014926.1,prokaryote,1.86E-05,371.1954775
NZ_AP014928.1,prokaryote,3.72E-05,744.8315708
NZ_AP014936.1,prokaryote,4.87E-05,973.5838345
NZ_AP014938.1,prokaryote,3.28E-05,656.3037791
NZ_AP014940.1,prokaryote,5.23E-05,1045.692938
NZ_AP014942.1,prokaryote,1.08E-05,215.8835622
NZ_AP014944.1,prokaryote,6.98E-05,1396.254118
NZ_AP014945.1,prokaryote,0.00014048,2809.592547
NZ_AP014946.1,prokaryote,7.67E-05,1534.481723
NZ_AP014950.1,prokaryote,3.69E-05,737.5097233
NZ_AP014951.1,prokaryote,5.65E-05,1130.670743
NZ_AP014956.1,prokaryote,0.000103526,2070.529705
NZ_AP015029.1,prokaryote,7.95E-05,1590.394012
NZ_AP017295.1,prokaryote,0.000362864,7257.282052
NZ_AP017302.1,prokaryote,9.44E-06,188.8149141
NZ_AP017305.1,prokaryote,0.000312576,6251.526463
NZ_AP017308.1,prokaryote,0.000209727,4194.531083
NZ_AP017312.1,prokaryote,0.000179174,3583.489633
NZ_AP017313.1,prokaryote,0.000331236,6624.718808
NZ_AP017315.1,prokaryote,2.71E-05,541.1510876
NZ_AP017318.1,prokaryote,2.63E-06,52.58417702
NZ_AP017319.1,prokaryote,2.97E-06,59.46227613
NZ_AP017320.1,prokaryote,5.24E-06,104.7246057
NZ_AP017367.1,prokaryote,0.000147546,2950.92639
NZ_AP017368.1,prokaryote,6.09E-05,1218.089164
NZ_AP017369.1,prokaryote,9.67E-05,1933.855219
NZ_AP017373.1,prokaryote,0.000144318,2886.361008
NZ_AP017375.1,prokaryote,0.000337215,6744.308983
NZ_AP017377.1,prokaryote,4.64E-06,92.74340083
NZ_AP017381.1,prokaryote,4.34E-05,867.5279838
NZ_AP017422.1,prokaryote,0.000563827,11276.53254
NZ_AP017457.1,prokaryote,5.09E-05,1017.958667
NZ_AP017459.1,prokaryote,0.000104913,2098.263975
NZ_AP017469.1,prokaryote,0.000106766,2135.316961
NZ_AP017557.1,prokaryote,9.64E-06,192.8086491
NZ_AP017558.1,prokaryote,4.48E-05,895.7060027
NZ_AP017569.1,prokaryote,2.69E-05,538.2667235
NZ_AP017572.1,prokaryote,1.06E-05,211.4460789
NZ_AP017573.1,prokaryote,9.95E-06,199.0211257
NZ_AP017574.1,prokaryote,1.07E-05,213.4429464
NZ_AP017575.1,prokaryote,1.03E-05,205.0117281
NZ_AP017576.1,prokaryote,9.82E-06,196.3586357
NZ_AP017577.1,prokaryote,9.49E-06,189.7024108
NZ_AP017578.1,prokaryote,9.84E-06,196.8023841
NZ_AP017579.1,prokaryote,1.12E-05,223.2054096
NZ_AP017580.1,prokaryote,1.04E-05,208.3398406
NZ_AP017581.1,prokaryote,1.00E-05,199.9086224
NZ_AP017602.1,prokaryote,1.03E-05,206.121099
NZ_AP017610.1,prokaryote,6.27E-06,125.358903
NZ_AP017617.1,prokaryote,1.07E-05,214.7741914
NZ_AP017620.1,prokaryote,8.99E-06,179.7180734
NZ_AP017623.1,prokaryote,5.74E-05,1148.198802
NZ_AP017624.1,prokaryote,6.14E-05,1228.739124
NZ_AP017629.1,prokaryote,1.30E-05,260.4802693
NZ_AP017630.1,prokaryote,0.000161114,3222.278493
NZ_AP017649.1,prokaryote,4.33E-05,866.418613
NZ_AP017652.1,prokaryote,7.50E-05,1500.534976
NZ_AP017655.1,prokaryote,6.30E-05,1260.023381
NZ_AP017896.1,prokaryote,2.57E-05,513.6386912
NZ_AP017900.1,prokaryote,4.62E-05,923.6621475
NZ_AP017901.1,prokaryote,7.77E-07,15.53119153
NZ_AP017902.1,prokaryote,8.95E-05,1789.858886
NZ_AP017913.1,prokaryote,8.10E-05,1619.237654
NZ_AP017914.1,prokaryote,1.88E-05,375.6329608
NZ_AP017920.1,prokaryote,2.20E-05,439.7545944
NZ_AP017929.1,prokaryote,1.82E-05,363.87363
NZ_AP017931.1,prokaryote,1.68E-05,336.3612336
NZ_AP017935.1,prokaryote,5.05E-05,1010.193072
NZ_AP017936.1,prokaryote,6.51E-05,1302.179472
NZ_AP017959.1,prokaryote,8.05E-05,1609.697065
NZ_AP017968.1,prokaryote,0.000475942,9518.845412
NZ_AP017971.1,prokaryote,2.98E-05,596.1758804
NZ_AP017973.1,prokaryote,1.26E-05,252.4927994
NZ_AP017975.1,prokaryote,3.09E-05,617.2539261
NZ_AP018033.1,prokaryote,1.22E-06,24.40615811
NZ_AP018034.1,prokaryote,7.99E-07,15.97493986
NZ_AP018035.1,prokaryote,6.32E-07,12.64682739
NZ_AP018036.1,prokaryote,6.43E-07,12.86870155
NZ_AP018042.1,prokaryote,0.000466535,9330.696121
NZ_AP018045.1,prokaryote,8.22E-05,1643.200063
NZ_AP018046.1,prokaryote,3.62E-05,723.0879026
NZ_AP018052.1,prokaryote,5.51E-05,1102.714598
NZ_AP018111.1,prokaryote,1.66E-05,332.3674987
NZ_AP018112.1,prokaryote,1.62E-05,324.3800287
NZ_AP018113.1,prokaryote,7.70E-06,153.9806703
NZ_AP018164.1,prokaryote,4.54E-05,908.5747043
NZ_AP018165.1,prokaryote,4.60E-05,920.5559092
NZ_AP018172.1,prokaryote,0.000401026,8020.529178
NZ_AP018203.1,prokaryote,0.000188759,3775.188912
NZ_AP018254.1,prokaryote,0.000345924,6918.480202
NZ_AP018255.1,prokaryote,0.000624121,12482.41863
NZ_AP018280.1,prokaryote,0.000433409,8668.179865
NZ_AP018281.1,prokaryote,0.000264607,5292.142575
NZ_AP018338.1,prokaryote,6.79E-05,1357.204265
NZ_CP001973.1,prokaryote,6.68E-05,1335.016849
NZ_CP003560.1,prokaryote,0.000543392,10867.84033
NZ_CP003561.1,prokaryote,0.000198699,3973.988163
NZ_CP004021.1,prokaryote,7.30E-05,1459.710129
NZ_CP004046.1,prokaryote,1.01E-05,201.9054898
NZ_CP004062.1,prokaryote,1.00E-05,200.796119
NZ_CP005083.1,prokaryote,6.67E-05,1333.019981
NZ_CP005084.1,prokaryote,1.80E-05,360.3236434
NZ_CP005188.1,prokaryote,4.83E-05,966.0401129
NZ_CP005189.1,prokaryote,1.11E-05,221.2085422
NZ_CP005970.1,prokaryote,5.56E-05,1112.033313
NZ_CP006058.1,prokaryote,2.03E-05,406.0297213
NZ_CP006367.1,prokaryote,4.13E-05,826.4812634
NZ_CP006632.1,prokaryote,1.22E-05,244.7272036
NZ_CP006636.1,prokaryote,2.14E-06,42.82171378
NZ_CP006748.1,prokaryote,2.25E-05,450.8483026
NZ_CP006751.1,prokaryote,2.27E-05,453.9545409
NZ_CP006754.1,prokaryote,2.35E-05,469.9294807
NZ_CP006758.1,prokaryote,2.21E-05,441.0858393
NZ_CP006762.1,prokaryote,2.21E-05,441.0858393
NZ_CP006783.1,prokaryote,2.17E-05,434.2077402
NZ_CP006792.1,prokaryote,2.21E-05,442.8608327
NZ_CP006803.1,prokaryote,0.000123917,2478.334419
NZ_CP006804.1,prokaryote,3.02E-05,603.9414762
NZ_CP006830.1,prokaryote,4.04E-06,80.76219594
NZ_CP006834.1,prokaryote,6.25E-06,124.9151547
NZ_CP006841.1,prokaryote,5.33E-05,1065.439739
NZ_CP006867.1,prokaryote,6.50E-05,1299.738857
NZ_CP006870.1,prokaryote,2.77E-05,554.9072858
NZ_CP006911.1,prokaryote,0.000103282,2065.648473
NZ_CP006947.1,prokaryote,9.91E-06,198.133629
NZ_CP006948.1,prokaryote,1.81E-06,36.16548884
NZ_CP006960.1,prokaryote,1.73E-05,345.2362002
NZ_CP006976.1,prokaryote,2.16E-05,431.9889986
NZ_CP006992.1,prokaryote,5.77E-05,1154.189405
NZ_CP007007.1,prokaryote,5.56E-06,111.1589565
NZ_CP007008.1,prokaryote,5.87E-06,117.3714331
NZ_CP007009.1,prokaryote,5.79E-06,115.818314
NZ_CP007010.1,prokaryote,6.55E-06,130.9057571
NZ_CP007011.1,prokaryote,4.81E-06,96.29338746
NZ_CP007017.1,prokaryote,6.67E-06,133.346373
NZ_CP007018.1,prokaryote,6.20E-06,124.027658
NZ_CP007019.1,prokaryote,5.48E-06,109.6058373
NZ_CP007020.1,prokaryote,6.31E-06,126.2463997
NZ_CP007021.1,prokaryote,6.27E-06,125.358903
NZ_CP007040.1,prokaryote,2.78E-05,556.6822791
NZ_CP007121.1,prokaryote,0.000102739,2054.776639
NZ_CP007131.1,prokaryote,2.97E-06,59.46227613
NZ_CP007158.1,prokaryote,2.56E-05,512.7511945
NZ_CP007159.1,prokaryote,2.44E-05,487.4575398
NZ_CP007167.1,prokaryote,7.79E-06,155.7556636
NZ_CP007168.1,prokaryote,9.76E-06,195.2492649
NZ_CP007169.1,prokaryote,9.61E-06,192.1430266
NZ_CP007170.1,prokaryote,7.31E-06,146.2150745
NZ_CP007171.1,prokaryote,7.65E-06,153.0931736
NZ_CP007188.1,prokaryote,8.40E-06,167.9587426
NZ_CP007189.1,prokaryote,1.40E-05,280.0051958
NZ_CP007190.1,prokaryote,1.48E-05,296.2020098
NZ_CP007191.1,prokaryote,6.46E-06,129.1307638
NZ_CP007192.1,prokaryote,6.12E-06,122.4745389
NZ_CP007193.1,prokaryote,6.65E-06,132.9026246
NZ_CP007194.1,prokaryote,5.47E-06,109.3839632
NZ_CP007195.1,prokaryote,5.89E-06,117.8151814
NZ_CP007196.1,prokaryote,7.27E-06,145.3275779
NZ_CP007197.1,prokaryote,9.17E-06,183.4899342
NZ_CP007198.1,prokaryote,8.54E-06,170.8431068
NZ_CP007199.1,prokaryote,6.63E-06,132.6807505
NZ_CP007200.1,prokaryote,7.49E-06,149.7650611
NZ_CP007204.1,prokaryote,6.68E-05,1335.238723
NZ_CP007205.2,prokaryote,3.09E-05,618.8070452
NZ_CP007212.1,prokaryote,3.61E-05,721.3129093
NZ_CP007213.1,prokaryote,3.08E-05,616.8101778
NZ_CP007220.1,prokaryote,3.62E-05,723.0879026
NZ_CP007223.1,prokaryote,9.69E-05,1937.848954
NZ_CP007255.1,prokaryote,3.72E-05,743.2784516
NZ_CP007275.1,prokaryote,4.60E-06,92.07777833
NZ_CP007389.1,prokaryote,0.000204135,4082.706504
NZ_CP007440.1,prokaryote,0.000124571,2491.424995
NZ_CP007442.1,prokaryote,4.71E-06,94.29651998
NZ_CP007459.1,prokaryote,7.55E-06,151.0963061
NZ_CP007460.1,prokaryote,8.25E-06,165.0743785
NZ_CP007461.1,prokaryote,7.77E-06,155.3119153
NZ_CP007462.1,prokaryote,7.69E-06,153.7587961
NZ_CP007491.1,prokaryote,5.90E-06,118.0370556
NZ_CP007504.1,prokaryote,7.72E-05,1544.687934
NZ_CP007525.1,prokaryote,7.53E-06,150.6525578
NZ_CP007526.1,prokaryote,8.44E-06,168.8462393
NZ_CP007560.1,prokaryote,1.40E-05,280.8926925
NZ_CP007561.1,prokaryote,1.09E-05,218.9898005
NZ_CP007562.1,prokaryote,9.02E-06,180.3836959
NZ_CP007589.1,prokaryote,1.94E-05,387.1704173
NZ_CP007590.1,prokaryote,2.13E-05,426.4421445
NZ_CP007591.1,prokaryote,2.17E-05,434.2077402
NZ_CP007657.1,prokaryote,3.64E-06,72.77472601
NZ_CP007667.1,prokaryote,6.87E-06,137.3401079
NZ_CP007668.1,prokaryote,6.83E-06,136.6744854
NZ_CP007670.1,prokaryote,4.10E-06,82.09344092
NZ_CP007672.1,prokaryote,4.27E-06,85.42155339
NZ_CP007674.1,prokaryote,3.55E-06,70.99973269
NZ_CP007676.1,prokaryote,3.65E-06,72.99660017
NZ_CP007684.1,prokaryote,1.12E-05,223.8710321
NZ_CP007685.1,prokaryote,1.18E-05,236.2959854
NZ_CP007686.1,prokaryote,7.30E-06,145.9932003
NZ_CP007687.1,prokaryote,7.84E-06,156.8650344
NZ_CP007688.1,prokaryote,8.09E-06,161.746266
NZ_CP007689.1,prokaryote,1.40E-05,279.7833216
NZ_CP007749.1,prokaryote,9.54E-06,190.8117816
NZ_CP007810.1,prokaryote,2.26E-05,452.4014217
NZ_CP008697.1,prokaryote,4.89E-06,97.84650661
NZ_CP008714.1,prokaryote,2.84E-05,567.332239
NZ_CP008742.1,prokaryote,5.14E-05,1027.055508
NZ_CP008743.1,prokaryote,0.000115718,2314.369412
NZ_CP008744.1,prokaryote,6.88E-07,13.75619821
NZ_CP008746.1,prokaryote,0.000355276,7105.520123
NZ_CP008750.1,prokaryote,1.62E-06,32.39362804
NZ_CP008751.1,prokaryote,8.32E-07,16.64056235
NZ_CP008774.1,prokaryote,1.69E-06,33.72487303
NZ_CP008775.1,prokaryote,1.38E-06,27.51239642
NZ_CP008776.1,prokaryote,1.25E-05,250.0521836
NZ_CP008813.1,prokaryote,1.37E-05,274.90209
NZ_CP008821.1,prokaryote,7.73E-06,154.6462928
NZ_CP008836.1,prokaryote,6.12E-06,122.4745389
NZ_CP008837.1,prokaryote,5.78E-06,115.5964398
NZ_CP008856.2,prokaryote,4.53E-06,90.52465918
NZ_CP008857.1,prokaryote,8.69E-06,173.7274709
NZ_CP008858.2,prokaryote,5.32E-06,106.499599
NZ_CP008859.2,prokaryote,2.72E-05,543.5917034
NZ_CP008860.2,prokaryote,5.28E-06,105.6121024
NZ_CP008861.1,prokaryote,8.16E-06,163.2993852
NZ_CP008862.2,prokaryote,3.53E-06,70.55598436
NZ_CP008863.1,prokaryote,4.25E-06,84.97780506
NZ_CP008864.2,prokaryote,5.21E-06,104.2808574
NZ_CP008865.2,prokaryote,4.12E-06,82.31531509
NZ_CP008866.2,prokaryote,6.63E-06,132.6807505
NZ_CP008867.1,prokaryote,5.15E-06,102.9496124
NZ_CP008868.1,prokaryote,5.40E-06,108.0527182
NZ_CP008869.2,prokaryote,1.01E-05,202.3492382
NZ_CP008870.2,prokaryote,5.23E-06,104.5027316
NZ_CP008871.2,prokaryote,9.15E-06,183.0461858
NZ_CP008872.2,prokaryote,3.37E-06,67.44974606
NZ_CP008873.1,prokaryote,7.19E-06,143.7744587
NZ_CP008886.1,prokaryote,3.13E-05,625.0195218
NZ_CP008925.1,prokaryote,4.30E-06,86.08717589
