NCBI accession number,name of the virus,genus of host,family of host,order of host,class of host,phylum of host,domain of host
NC_005857,Klebsiella phage phiKO2,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005859,Escherichia phage T5,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005872,Pyrobaculum spherical virus,Pyrobaculum,Thermoproteaceae,Thermoproteales,Thermoprotei,Crenarchaeota,archaea
NC_005879,Vibrio phage VP2,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005880,Staphylococcus phage K,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_005882,Burkholderia phage BcepMu,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_005884,Pseudomonas phage PaP2,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005885,Actinoplanes phage phiAsp2,Actinoplanes,Micromonosporaceae,Micromonosporales,Actinobacteria,Actinobacteria,bacteria
NC_005886,Burkholderia phage BcepB1A,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_005887,Burkholderia phage BcepC6B,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_005891,Vibrio phage VP5,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005892,Sulfolobus turreted icosahedral virus 1,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_005893,Lactobacillus phage phiAT3,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_005948,Vibrio phage Vf33,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005964,Mycoplasma phage phiMFV1,NA,NA,NA,NA,NA,bacteria
NC_006268,Sulfolobus virus STSV1,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_006294,Vibrio phage KSF-1phi,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_006356,Flavobacterium phage 11b,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_006548,Pseudomonas phage B3,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_006552,Pseudomonas phage F116,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_006556,Thermoproteus tenax spherical virus 1,Thermoproteus,Thermoproteaceae,Thermoproteales,Thermoprotei,Crenarchaeota,archaea
NC_006557,Bacillus phage BCJA1c,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_006565,Lactobacillus phage LP65,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_006820,Synechococcus phage S-PM2,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_006882,Prochlorococcus phage P-SSP7,NA,NA,NA,NA,NA,bacteria
NC_006883,Prochlorococcus phage P-SSM2,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_006884,Prochlorococcus phage P-SSM4,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_006936,Lactobacillus phage phijl1,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_006938,Phage phiJL001,alpha,NA,NA,NA,NA,bacteria
NC_006940,Salmonella phage SS3e,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_006945,Bacillus phage GIL16c,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_006949,Enterobacteria phage ES18,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_006953,Listonella phage phiHSIC,Listonella,NA,NA,NA,NA,bacteria
NC_007019,Streptococcus phage 2972,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_007021,Staphylococcus phage Twort,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007022,Aeromonas phage 31,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007023,Enterobacteria phage RB43,Enterobacteriaceae,NA,NA,NA,NA,bacteria
NC_007024,Xanthomonas phage Xp15,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007045,Staphylococcus phage PT1028,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007046,Staphylococcus phage 66,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007047,Staphylococcus phage 187,NA,NA,NA,NA,NA,bacteria
NC_007048,Staphylococcus phage 69,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007049,Staphylococcus phage 53,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007050,Staphylococcus phage 85,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007051,Staphylococcus phage 2638A,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007052,Staphylococcus phage 42E,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007053,Staphylococcus phage 3A,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007054,Staphylococcus phage 47,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007055,Staphylococcus phage 37,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007056,Staphylococcus phage EW,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007057,Staphylococcus phage 96,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007058,Staphylococcus phage ROSA,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007059,Staphylococcus phage 71,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007060,Staphylococcus phage 55,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007061,Staphylococcus phage 29,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007062,Staphylococcus phage 52A,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007063,Staphylococcus phage 88,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007064,Staphylococcus phage 92,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007065,Staphylococcus phage X2,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007066,Staphylococcus phage G1,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007145,Burkholderia phage phi52237,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_007149,Vibriophage VP4,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007189,Stenotrophomonas phage phiSMA9,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007291,Escherichia phage Jk06,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007409,Acidianus two-tailed virus,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_007456,Enterobacteria phage K1F,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007458,Bacillus phage Gamma,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007461,Chlamydia phage 4,Chlamydophila,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,bacteria
NC_007497,Burkholderia phage Bcep176,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_007501,Lactobacillus phage Lc-Nu,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_007581,Clostridium phage c-st,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_007603,Escherichia phage Rtp,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007623,Pseudomonas phage EL,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007637,Enterobacteria phage K1E,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007709,Xanthomonas phage OP1,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007710,Xanthomonas phage OP2,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007734,Bacillus phage WBeta,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007804,Escherichia phage phiV10,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007805,Pseudomonas phage F10,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007806,Pseudomonas phage 73,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007807,Pseudomonas phage 119X,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007808,Pseudomonas phage PA11,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007809,Pseudomonas phage M6,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007810,Pseudomonas phage F8,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007814,Bacillus phage Fah,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_007817,Enterobacteria phage ID2 Moscow/ID/2001,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007821,Enterobacteria phage WA13 sensu lato,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007856,Enterobacteria phage ID18 sensu lato,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007902,Sodalis phage phiSG1,Sodalis,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_007914,His 1 virus,Haloarcula,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,archaea
NC_007917,Clostridium phage phiCD119,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_007918,His2 virus,Haloarcula,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,archaea
NC_007924,Lactobacillus phage KC5a,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_007967,Streptomyces phage mu1/6,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,bacteria
NC_008152,Enterobacteria phage K1-5,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_008193,Pasteurella phage F108,Pasteurella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,bacteria
NC_008194,Mycobacterium phage 244,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_008195,Mycobacterium phage Cooper,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_008196,Mycobacterium phage Llij,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_008197,Mycobacterium phage Orion,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_008198,Mycobacterium phage PBI1,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_008199,Mycobacterium phage Pipefish,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_008200,Mycobacterium phage PLot,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_008201,Mannheimia phage phiMHaA1,Mannheimia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,bacteria
NC_008202,Mycobacterium phage Halo,NA,NA,NA,NA,NA,bacteria
NC_008203,Mycobacterium phage Che12,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_008204,Mycobacterium phage Qyrzula,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_008205,Mycobacterium phage PMC,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_008206,Mycobacterium phage Wildcat,NA,NA,NA,NA,NA,bacteria
NC_008207,Mycobacterium phage Catera,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_008208,Aeromonas phage 25,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_008265,Clostridium phage phiSM101,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_008294,Pseudomonas phage PRR1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_008296,Synechococcus phage syn9,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_008355,Chlamydia phage 3,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,bacteria
NC_008363,Lactococcus phage P008,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_008364,Lactococcus phage Q54,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_008367,Phormidium phage Pf-WMP4,Phormidium,NA,NA,NA,NA,bacteria
NC_008370,Lactococcus phage 712,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_008371,Lactococcus phage jj50,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_008376,Geobacillus phage GBSV1,Geobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_008464,Stx2-converting phage 86,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_008515,Enterobacteria phage RB32,NA,NA,NA,NA,NA,bacteria
NC_008562,Microcystis aeruginosa phage Ma-LMM01,Microcystis,,Chroococcales,,Cyanobacteria,bacteria
NC_008574,Ralstonia phage RSM1,NA,NA,NA,NA,NA,bacteria
NC_008575,Ralstonia phage RSS1,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_008583,Staphylococcus phage phiNM,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_008584,Thermus phage phiYS40,NA,NA,NA,NA,NA,bacteria
NC_008617,Staphylococcus phage phiNM3,NA,NA,NA,NA,NA,bacteria
NC_008689,Staphylococcus phage Pvl108,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_008694,Yersinia phage Berlin,Yersinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_008695,Archaeal BJ1 virus,Halorubrum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,archaea
NC_008717,Pseudomonas phage DMS3,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_008720,Escherichia phage N4,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_008721,Streptococcus phage SMP,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_008722,Staphylococcus phage CNPH82,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_008723,Staphylococcus phage PH15,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_008798,Staphylococcus phage phiETA2,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_008799,Staphylococcus phage phiETA3,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_009014,Erwinia amylovora phage Era103,Erwinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_009015,Burkholderia phage BcepF1,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_009016,Vibrio phage VP882,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_009018,Streptococcus phage phi3396,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_009231,Clostridium phage phiC2,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_009232,Salmonella phage SETP3,NA,NA,NA,NA,NA,bacteria
NC_009234,Burkholderia phage phiE202,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_009235,Burkholderia phage phi6442,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_009236,Burkholderia phage phiE12-2,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_009237,Burkholderia phage phiE255,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_009382,Ralstonia phage RSA1,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_009447,Burkholderia phage BcepGomr,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_009452,Acidianus bottle-shaped virus,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_009514,Enterobacteria phage cdtI,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_009526,Staphylococcus phage 80alpha,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_009531,Synechococcus phage Syn5,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_009540,Escherichia phage Tls,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_009541,Propionibacterium phage PA6,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,bacteria
NC_009542,Aeromonas phage phiO18P,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_009543,Xanthomonas phage Xop411,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_009551,Phormidium phage Pf-WMP3,Leptolyngbya,,Oscillatoriales,,Cyanobacteria,bacteria
NC_009552,Geobacillus virus E2,Geobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_009554,Lactobacillus phage LL-H,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_009597,Pyrococcus abyssi virus 1,Pyrococcus,Thermococcaceae,Thermococcales,Thermococci,Euryarchaeota,archaea
NC_009603,Microbacterium phage Min1,Microbacterium,Microbacteriaceae,Micrococcales,Actinobacteria,Actinobacteria,bacteria
NC_009604,Burkholderia phage BcepNY3,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_009643,Actinomyces phage Av-1,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,bacteria
NC_009737,Bacillus virus 1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_009760,Bacillus phage 0305phi8-36,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_009761,Staphylococcus phage tp310-1,NA,NA,NA,NA,NA,bacteria
NC_009762,Staphylococcus phage tp310-2,NA,NA,NA,NA,NA,bacteria
NC_009763,Staphylococcus phage tp310-3,NA,NA,NA,NA,NA,bacteria
NC_009799,Corynebacterium phage BFK20,Brevibacterium,Brevibacteriaceae,Micrococcales,Actinobacteria,Actinobacteria,bacteria
NC_009803,Thermus phage P2345,Thermus,Thermaceae,Thermales,Deinococci,Deinococcus-Thermus,bacteria
NC_009804,Thermus phage P7426,Thermus,Thermaceae,Thermales,Deinococci,Deinococcus-Thermus,bacteria
NC_009810,Listeria phage A500,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_009811,Listeria phage A511,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_009812,Listeria phage B025,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_009813,Listeria phage B054,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_009814,Listeria phage P35,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_009815,Listeria phage A006,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_009816,Corynebacterium phage P1201,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_009817,Lactococcus phage KSY1,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_009818,Pseudomonas phage MP22,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_009819,Streptococcus phage P9,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_009820,Mycobacterium phage Tweety,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_009821,Enterobacteria phage Phi1,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_009875,Staphylococcus phage SAP-2,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_009877,Mycobacterium phage U2,NA,NA,NA,NA,NA,bacteria
NC_009878,Mycobacterium phage Bethlehem,NA,NA,NA,NA,NA,bacteria
NC_009884,Acidianus filamentous virus 2,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_009904,Enterococcus phage phiEF24C,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_009935,Pseudomonas phage LKD16,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_009936,Pseudomonas phage LKA1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_009965,Acidianus rod-shaped virus 1,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_009986,Sulfolobus spindle-shaped virus 4,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_009987,Spiroplasma kunkelii virus SkV1_CR2-3x,Spiroplasma,Spiroplasmataceae,Entomoplasmatales,Mollicutes,Tenericutes,bacteria
NC_009990,Thalassomonas phage BA3,Thalassomonas,Colwelliaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_009993,Mycobacterium phage Giles,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_010105,Enterobacteria phage JS98,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_010106,Enterobacteria phage phiEcoM-GJ1,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_010116,Pseudomonas phage YuA,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_010147,Staphylococcus phage phiMR11,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_010152,Acidianus filamentous virus 6,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_010153,Acidianus filamentous virus 7,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_010154,Acidianus filamentous virus 8,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_010155,Acidianus filamentous virus 3,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_010179,Lactobacillus prophage Lj771,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_010237,Enterobacteria phage Min27,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_010324,Enterobacteria phage Phieco32,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_010325,Pseudomonas phage LUZ24,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_010326,Pseudomonas phage LUZ19,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_010342,Halomonas phage phiHAP-1,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,bacteria
NC_010353,Streptococcus phage 858,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_010355,Azospirillum phage Cd,Azospirillum,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,bacteria
NC_010363,Lactococcus phage asccphi28,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_010391,Salmonella phage Fels-1,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_010392,Phage Gifsy-1,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_010393,Phage Gifsy-2,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_010463,Salmonella phage Fels-2,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_010495,Salmonella phage Vi II-E1,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_010537,Acidianus filamentous virus 9,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_010576,Lactococcus phage 1706,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
