NCBI accession number,name of the virus,genus of host,family of host,order of host,class of host,phylum of host,domain of host
NC_024785,Acinetobacter phage YMC-13-01-C62,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024786,Escherichia phage vB_EcoP_PhAPEC5,NA,NA,NA,NA,NA,bacteria
NC_024787,Listeria phage LMTA-148,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_024788,Bacillus phage Riley,NA,NA,NA,NA,NA,bacteria
NC_024789,Escherichia phage bV_EcoS_AKS96,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024790,Escherichia phage vB_EcoP_PhAPEC7,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024791,Vibrio phage ICP2_2013_A_Haiti,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024792,Bacillus phage Bobb,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_024793,Escherichia phage bV_EcoS_AHP42,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024794,Escherichia phage vB_EcoM_PhAPEC2,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025115,Ralstonia phage RSY1,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_025414,Citrobacter phage Miller,NA,NA,NA,NA,NA,bacteria
NC_025415,Lactobacillus phage Ld25A,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_025416,Staphylococcus phage MCE-2014,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_025417,Staphylococcus phage Team1,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_025418,Klebsiella phage NTUH-K2044-K1-1,NA,NA,NA,NA,NA,bacteria
NC_025419,Enterobacteria phage RB3,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025420,Lactobacillus phage Ld17,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_025421,Lactobacillus phage Ld3,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_025422,Caulobacter phage Cr30,Caulobacter,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_025423,Bacillus phage CP-51,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_025424,Bacillus phage Waukesha92,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_025425,Enterobacteria phage GEC-3S,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025426,Staphylococcus phage P108,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_025427,Rhizobium phage vB_RleM_PPF1,Rhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,bacteria
NC_025428,Ruegeria phage DSS3-P1,Ruegeria,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_025429,Rhizobium phage vB_RleM_P10VF,Rhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,bacteria
NC_025430,Escherichia phage vB_EcoM-ep3,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025431,Mesorhizobium phagevB_MloP_Lo5R7ANS,Mesorhizobium,Phyllobacteriaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,bacteria
NC_025433,Mycobacterium phage Taj,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_025434,Shigella phage POCJ13,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025436,Shewanella sp. phage 1/4,NA,NA,NA,NA,NA,bacteria
NC_025437,Shigella phage Shf125875,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025438,Mycobacterium phage Soto,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_025439,Idiomarinaceae phage 1N2-2,Idiomarinaceae,NA,NA,NA,NA,bacteria
NC_025440,Listeria phage WIL-1,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_025441,Escherichia phage ECML-117,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025442,Salmonella phage Chi,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025443,Salmonella phage 9NA,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025444,Mycobacterium phage RedRock,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_025445,Enterobacteria phage J8-65,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025446,Escherichia phage ECML-4,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025447,Escherichia phage 121Q,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025448,Enterobacteria phage RB27,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025449,Escherichia phage ECML-134,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025450,Lelliottia phage phD2B,Lelliottia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025451,Yersinia phage vB_YenP_AP5,Yersinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025452,Dickeya phage RC-2014,Dickeya,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025453,Enterococcus phage EFC-1,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_025454,Ralstonia phage RS603,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_025455,Synechococcus phage S-CBP2,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_025456,Synechococcus phage S-CBP1,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_025457,Acinetobacter phage vB_AbaP_Acibel007,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025458,Shewanella sp. phage 1/41,NA,NA,NA,NA,NA,bacteria
NC_025459,Aeromonas phage pAh6-C,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025460,Staphylococcus phage phiSa119,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_025461,Synechococcus phage S-CBP3,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_025462,Acinetobacter phage vB_AbaM_Acibel004,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025463,Shewanella sp. phage 1/44,NA,NA,NA,NA,NA,bacteria
NC_025464,Synechococcus phage S-CBP4,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_025465,Enterococcus phage EfaCPT1,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_025466,Shewanella sp. phage 3/49,NA,NA,NA,NA,NA,bacteria
NC_025467,Enterococcus phage vB_Efae230P-4,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_025470,Shewanella sp. phage 1/40,NA,NA,NA,NA,NA,bacteria
NC_025471,Idiomarinaceae phage Phi1M2-2,Idiomarinaceae,NA,NA,NA,NA,bacteria
NC_025822,Vibrio phage phi-A318,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025824,Enterobacteria phage fd,NA,NA,NA,NA,NA,bacteria
NC_025829,Shigella phage pSs-1,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_025830,Escherichia phage Av-05,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_026010,Shigella phage pSf-2,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_026013,Microviridae IME-16,NA,NA,NA,NA,NA,bacteria
NC_026014,Enterobacteria phage P88,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_026016,Staphylococcus phage phiBU01,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_026017,Salmonella phage LSPA1,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_026582,uncultured phage WW-nAnB,NA,NA,NA,NA,NA,bacteria
NC_026583,Mycobacterium phage Alvin,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_026584,Mycobacterium phage Minerva,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_026585,Mycobacterium phage Estave1,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_026586,Pseudomonas phage vB_PaeM_PAO1_Ab27,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_026587,Pseudomonas phage vB_PaeM_PAO1_Ab03,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_026588,Mycobacterium phage Squirty,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_026589,Mycobacterium phage Sbash,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_026590,Mycobacterium phage Gaia,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_026591,Mycobacterium phage Trike,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_026593,Mycobacterium phage BuzzLyseyear,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_026594,Pseudomonas phage vB_PaeS_PAO1_Ab18,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_026595,Mycobacterium phage Hades,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_026596,Mycobacterium phage Inventum,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_026597,Mycobacterium phage Sparky,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_026598,Mycobacterium phage Milly,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_026599,Pseudomonas phage vB_PaeP_C2-10_Ab22,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_026600,Pseudomonas phage vB_PaeM_C1-14_Ab28,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_026601,Pseudomonas phage vB_PaeS_PAO1_Ab30,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_026602,Pseudomonas phage vB_PaeP_PAO1_Ab05,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_026603,Mycobacterium phage Keshu,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_026604,Mycobacterium phage Cerasum,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_026605,Mycobacterium phage Malithi,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_026606,Arthrobacter phage vB_ArtM-ArV1,Arthrobacter,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria,bacteria
NC_026607,Salmonella phage STP4-a,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_026608,Paracoccus phage vB_PmaS_IMEP1,Paracoccus,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_026609,Lactobacillus phage Ldl1,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_026610,Vibrio phage VpKK5,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_026611,Edwardsiella phage GF-2,NA,NA,NA,NA,NA,bacteria
NC_026612,Uncultured phage WW-nAnB strain 2,Homo,NA,NA,NA,NA,bacteria
NC_026613,Uncultured phage WW-nAnB strain 3,Homo,NA,NA,NA,NA,bacteria
NC_026665,Eel River basin pequenovirus,NA,NA,NA,NA,NA,bacteria
NC_026923,Synechococcus phage ACG-2014d,NA,NA,NA,NA,NA,bacteria
NC_026924,Synechococcus phage ACG-2014g,NA,NA,NA,NA,NA,bacteria
NC_026926,Synechococcus phage ACG-2014j,NA,NA,NA,NA,NA,bacteria
NC_026927,Synechococcus phage ACG-2014f,NA,NA,NA,NA,NA,bacteria
NC_026928,Synechococcus phage ACG-2014e,NA,NA,NA,NA,NA,bacteria
NC_027368,Vibrio phage PV94,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_028764,Clostridium phage phiCD505,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_028838,Clostridium phage phiCD506,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_028883,Clostridium phage phiMMP01,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_028905,Clostridium phage phiCD111,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_028951,Clostridium phage phiCD481-1,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_028958,Clostridium phage phiCD146,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_028959,Clostridium phage phiMMP03,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_028996,Clostridium phage phiCDHM19,NA,NA,NA,NA,NA,bacteria
NC_029048,Clostridium phage phiCD211,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NG_041717,          Vibrio phage CTX,NA,NA,NA,NA,NA,bacteria
NG_041718,          Vibrio phage CTX,NA,NA,NA,NA,NA,bacteria
