NCBI accession number,name of host,genus,family,order,class,phylum,domain
AFZC02,Oribacterium parvum ACB1,Oribacterium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria
AFRQ01,Achromobacter insuavis AXX-A,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
AEVM02,Methylocystis sp. ATCC 49242,Methylocystis,Methylocystaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
AFHP02,Capnocytophaga sp. oral taxon 329 str. F0087,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
ACWN01,Eggerthella sp. 1_3_56FAA,Eggerthella,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinobacteria,Bacteria
ACWS01,Neisseria sp. GT4A_CT1,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria
ACWJ01,Campylobacter sp. 10_1_50,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
ACTT02,Ralstonia sp. 5_2_56FAA,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
ACWM01,Desulfovibrio sp. 6_1_46AFAA,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
NC_020516.1,Azoarcus sp. KH32C,Azoarcus,Rhodocyclaceae,Rhodocyclales,Betaproteobacteria,Proteobacteria,Bacteria
NC_015737.1,Clostridium sp. SY8519,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
AHBX01,Saccharomonospora azurea SZMC 14600,Saccharomonospora,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria
BAEI01,Gordonia polyisoprenivorans NBRC 16320 = JCM 10675,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
CAFW01,Corynebacterium casei UCMA 3821,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NZ_CM001371.1,Fluoribacter dumoffii Tex-KL,Fluoribacter,Legionellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Bacteria
AGIQ01,Mycobacterium rhodesiae JS60,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
AGBA01,Propionibacterium avidum ATCC 25577,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
AGDD01,Streptomyces chartreusis NRRL 3882,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
AGCI01,Hafnia alvei ATCC 51873,Hafnia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AFWR01,Neisseria weaveri ATCC 51223,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria
AFQO01,Haemophilus haemolyticus M19501,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
AFLV02,Leptospira weilii str. 2006001853,Leptospira,Leptospiraceae,,Spirochaetia,Spirochaetes,Bacteria
AFBH01,Acidovorax radicis N35v,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_015690.1,Paenibacillus mucilaginosus KNP414,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AFFP02,Avibacterium paragallinarum 72,Avibacterium,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
AFTL01,Lactobacillus oris F0423,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_AEUT02000001.1,Streptococcus parauberis NCFD 2020,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AEXM01,Anaerococcus prevotii ACS-065-V-Col13,Anaerococcus,Peptoniphilaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
AEXO01,Prevotella denticola CRIS 18C-A,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
ADHO01,Helicobacter suis HS5,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
NC_014910.1,Alicycliphilus denitrificans BC,Alicycliphilus,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
AFWH01,Vibrio orientalis CIP 102891 = ATCC 33934,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CM001194.1,Acinetobacter lwoffii WJ10621,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
ADGH01,Selenomonas noxia F0398,Selenomonas,Veillonellaceae,Selenomonadales,Negativicutes,Firmicutes,Bacteria
AEXN01,Anaerococcus hydrogenalis ACS-025-V-Sch4,Anaerococcus,Peptoniphilaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
ACWG01,Bacteroides eggerthii 1_2_48FAA,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
AENX01,Serratia symbiotica str. Tucson,Serratia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AEEA01,Treponema primitia ZAS-1,Treponema,Spirochaetaceae,Spirochaetales,Spirochaetia,Spirochaetes,Bacteria
NC_015428.1,Lactobacillus buchneri NRRL B-30929,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFID01,Kocuria rhizophila P7-4,Kocuria,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
AHCA01,Pseudoalteromonas haloplanktis ATCC 14393,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AFPT01,Acidovorax avenae subsp. avenae RS-1,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_015410.1,Pseudomonas mendocina NK-01,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
CAGE01,Leuconostoc citreum LBAE C10,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AESD01,Crocosphaera watsonii WH 0003,Crocosphaera,,Chroococcales,,Cyanobacteria,Bacteria
NC_015214.1,Lactobacillus acidophilus 30SC,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFAR01,Rhodopirellula baltica WH47,Rhodopirellula,Planctomycetaceae,Planctomycetales,Planctomycetia,Planctomycetes,Bacteria
NC_016805.1,Leuconostoc mesenteroides subsp. mesenteroides J18,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_015709.1,Zymomonas mobilis subsp. pomaceae ATCC 29192,Zymomonas,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_017304.1,Ruminiclostridium thermocellum DSM 1313,Ruminiclostridium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NC_016778.1,Brucella canis HSK A52141,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
AFSD01,Agrobacterium tumefaciens F2,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
AGBY01,Bacillus pumilus S-1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AERN01,Shigella boydii ATCC 9905,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
CP002888.1,Streptococcus salivarius 57.I,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFZX01,Desulfitobacterium hafniense DP7,Desulfitobacterium,Peptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NC_017251.1,Brucella suis 1330,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_017567.1,Streptococcus dysgalactiae subsp. equisimilis ATCC 12394,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_017188.1,Bacillus amyloliquefaciens TA208,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_017244.1,Brucella melitensis M28,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
AFWG01,Vibrio splendidus ATCC 33789,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_016807.1,Mycoplasma pneumoniae 309,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
NZ_CM001168.1,Chlamydophila abortus LLG,Chlamydophila,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,Bacteria
NC_015136.1,Burkholderia sp. CCGE1001,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_014921.1,Mycoplasma fermentans M64,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
CAGF01,Leuconostoc citreum LBAE C11,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
ADOP01,Pseudoalteromonas haloplanktis ANT/505,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_017538.1,Oligotropha carboxidovorans OM4,Oligotropha,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
AEJU01,Escherichia albertii TW08933,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AEWB01,Aggregatibacter aphrophilus ATCC 33389,Aggregatibacter,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
AFOJ01,Lactobacillus ruminis SPM0211,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AEVE01,Streptococcus parasanguinis ATCC 903,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFNN01,Streptococcus infantis SK1076,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFXE01,Sphingobium yanoikuyae XLDN2-5,Sphingobium,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
AEOR01,Leuconostoc lactis KCTC 3528 = DSM 20202,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFQP01,Haemophilus haemolyticus M21127,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
CAGD01,Brevibacillus laterosporus GI-9,Brevibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_017294.1,Candidatus Arthromitus sp. SFB-mouse-Yit,Candidatus Arthromitus,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
ACWL01,Coprobacillus sp. 3_3_56FAA,Coprobacillus,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes,Bacteria
AEUH01,Actinomyces sp. oral taxon 178 str. F0338,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria
AEXR01,Eggerthella sp. HGA1,Eggerthella,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinobacteria,Bacteria
AFUG01,Megasphaera sp. UPII 135-E,Megasphaera,Veillonellaceae,Selenomonadales,Negativicutes,Firmicutes,Bacteria
AECW01,Actinomyces sp. oral taxon 171 str. F0337,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria
AGTS01,Acidovorax sp. NO-1,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CM001240.1,Clostridium sp. DL-VIII,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
AHIS01,Sphingomonas sp. PAMC 26605,Sphingomonas,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
AGGC01,Streptococcus sobrinus TCI-13,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AEZA01,Vibrio anguillarum 96F,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
AFUT01,Streptococcus infantis SK970,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_017531.1,Pantoea ananatis AJ13355,Pantoea,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AEXI01,Veillonella parvula ACS-068-V-Sch12,Veillonella,Veillonellaceae,Selenomonadales,Negativicutes,Firmicutes,Bacteria
AEQS01,Vibrio coralliilyticus P1,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
AGKB01,Pediococcus acidilactici MA18/5M,Pediococcus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AGAS01,Pseudomonas savastanoi pv. phaseolicola 1644R,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AFTX01,Staphylococcus capitis VCU116,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AFXN01,Streptococcus intermedius F0395,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AEJY01,Escherichia albertii TW15818,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
CAGG01,Leuconostoc citreum LBAE E16,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AERC01,Moraxella catarrhalis 7169,Moraxella,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_016589.1,Burkholderia sp. YI23,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
AEWT01,Enterococcus casseliflavus ATCC 12755,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_017246.1,Brucella melitensis M5-90,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_017262.1,Zymomonas mobilis subsp. mobilis ATCC 10988,Zymomonas,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_017582.1,Streptococcus equi subsp. zooepidemicus ATCC 35246,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_017190.1,Bacillus amyloliquefaciens LL3,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_016797.1,Brucella suis VBI22,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
CP002491.1,Enterococcus faecalis 62,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFCC01,Lactococcus garvieae 21881,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_017467.1,Lactobacillus helveticus H10,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_017469.1,Lactobacillus delbrueckii subsp. bulgaricus 2038,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_016795.1,Brucella abortus A13334,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_016804.1,Mycobacterium bovis BCG str. Mexico,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_015662.1,Buchnera aphidicola (Cinara tujafilina),Buchnera,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AFMJ01,Leptospira interrogans serovar Copenhageni str. Fiocruz R154,Leptospira,Leptospiraceae,,Spirochaetia,Spirochaetes,Bacteria
AERM01,Shigella dysenteriae CDC 74-1112,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AFGE01,Shigella boydii 5216-82,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AEXU01,Lactobacillus delbrueckii subsp. lactis DSM 20072,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFHF01,Lactococcus garvieae UNIUD074,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_017540.1,Klebsiella pneumoniae KCTC 2242,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
BAEC01,Comamonas testosteroni NBRC 100989,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_017248.1,Brucella melitensis NI,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
AFMO01,Cronobacter sakazakii E899,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AERE01,Moraxella catarrhalis 103P14B1,Moraxella,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AFWM01,Bacillus coagulans XZL4,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AFUI01,Finegoldia magna SY403409CC001050417,Finegoldia,Peptoniphilaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
AFXO01,Streptococcus intermedius F0413,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFNM01,Streptococcus oralis SK255,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AEGG01,Pseudomonas savastanoi pv. glycinea str. B076,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
ADME01,Streptococcus anginosus 1_2_62CV,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AECL01,Agrobacterium sp. ATCC 31749,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
AFUQ01,Streptococcus infantis X,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
BAEF01,Pantoea agglomerans IG1,Pantoea,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AGGD01,Streptococcus sobrinus TCI-16,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFIH01,Oribacterium sp. oral taxon 108 str. F0425,Oribacterium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria
AGJN02,Frankia sp. CN3,Frankia,Frankiaceae,Frankiales,Actinobacteria,Actinobacteria,Bacteria
ADWZ01,Pantoea sp. SL1_M5,Pantoea,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AFBL01,Actinomyces sp. oral taxon 170 str. F0386,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria
AFUJ01,Veillonella sp. oral taxon 780 str. F0422,Veillonella,Veillonellaceae,Selenomonadales,Negativicutes,Firmicutes,Bacteria
AGIB01,Halomonas sp. HAL1,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria
AHBC01,Halomonas sp. GFAJ-1,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria
AFQC01,Actinomyces sp. oral taxon 448 str. F0400,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria
AFOZ01,Shewanella sp. HN-41,Shewanella,Shewanellaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AGGE01,Streptococcus sobrinus TCI-28,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFWJ01,Vibrio nigripulchritudo ATCC 27043,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
BADV01,Pseudoalteromonas sp. BSi20429,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AEFM01,Bacillus atrophaeus ATCC 9372-1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AEJK01,Aggregatibacter actinomycetemcomitans serotype a str. H5P1,Aggregatibacter,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
AGCF01,Rhodococcus erythropolis XP,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_015740.1,Pseudomonas stutzeri ATCC 17588 = LMG 11199,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AERF01,Moraxella catarrhalis 46P47B1,Moraxella,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AGKF01,Streptococcus mutans TCI-101,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_017215.1,Bifidobacterium animalis subsp. lactis CNCM I-2494,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria
NZ_CM001076.1,Streptococcus dysgalactiae subsp. dysgalactiae ATCC 27957,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFCD01,Lactococcus garvieae 8831,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CM001150.1,Mycoplasma capricolum subsp. capripneumoniae M1601,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
AGBV01,Streptococcus salivarius M18,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFFZ01,Shigella dysenteriae 155-74,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AFMI01,Leptospira interrogans serovar Copenhageni str. Fiocruz LV2756C6,Leptospira,Leptospiraceae,,Spirochaetia,Spirochaetes,Bacteria
NC_017546.1,Listeria monocytogenes FSL R2-561,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AGSM01,Agrobacterium tumefaciens CCNWGS0286,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
AFMH01,Leptospira interrogans serovar Copenhageni str. 2001025091,Leptospira,Leptospiraceae,,Spirochaetia,Spirochaetes,Bacteria
NZ_CM002368.1,Fusobacterium nucleatum subsp. animalis 21_1A,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria
NZ_CM001228.1,Campylobacter fetus subsp. venerealis NCTC 10354,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
AFQT01,Streptococcus mitis SK1073,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AGQX01,Lactococcus garvieae TB25,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFIN01,Streptococcus dysgalactiae subsp. equisimilis SK1249,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_017216.2,Bifidobacterium animalis subsp. lactis BLC1,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria
AGKG01,Streptococcus mutans TCI-109,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFMN01,Lactobacillus salivarius NIAS840,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AEJL01,Aggregatibacter actinomycetemcomitans serotype d str. I63B,Aggregatibacter,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
AEFP01,Bacillus atrophaeus Detrick-1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
BADT01,Pseudoalteromonas sp. BSi20652,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AFUC01,Streptococcus parasanguinis SK236,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AGGF01,Streptococcus sobrinus TCI-50,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AHAY01,Pseudomonas chlororaphis subsp. chlororaphis GP72,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
ACTB01,Actinomyces sp. oral taxon 849 str. F0330,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria
AGJC02,Cyanothece sp. ATCC 51472,Cyanothece,,Chroococcales,,Cyanobacteria,Bacteria
AFAQ01,Rhodococcus sp. R04,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
AFGG01,Sphingomonas sp. S17,Sphingomonas,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
AGGG01,Streptococcus sobrinus TCI-53,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
CAEI01,Pantoea ananatis,Pantoea,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
BADU01,Pseudoalteromonas sp. BSi20311,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AEFQ01,Bacillus atrophaeus Detrick-2,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AEJM01,Aggregatibacter actinomycetemcomitans serotype e str. SC1083,Aggregatibacter,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
AFOX01,Paenibacillus polymyxa ATCC 842,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AERH01,Moraxella catarrhalis BC1,Moraxella,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AFOI01,Lactobacillus salivarius GJ-24,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AGKH01,Streptococcus mutans TCI-11,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFUL01,Streptococcus dysgalactiae subsp. equisimilis SK1250,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AGQY01,Lactococcus garvieae LG9,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFQV01,Streptococcus mitis SK1080,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AFHK01,Xanthomonas oryzae X11-5A,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AGFO01,Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AGVZ01,Agrobacterium tumefaciens 5A,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
