NCBI accession number,name of the virus,name of the host,genus of host,family of host,order of host,class of host,phylum of host,domain of host
NC_031125,"Lactobacillus phage PLE3, complete genome",Lactobacillus casei BL23,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031013,"Lactococcus phage 28201, complete genome",Lactococcus lactis SMQ-86,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031040,"Lactococcus phage 50101, complete genome",Lactococcus lactis 3107,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031017,"Lactococcus phage 63301, complete genome",Lactococcus lactis 3107,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031064,"Lactococcus phage 98201, complete genome",Lactococcus lactis SMQ-86,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031071,"Lactococcus phage D4410, complete genome",Lactococcus lactis DGCC7271,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031009,"Lactococcus phage D4412, complete genome",Lactococcus lactis DGCC7271,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031075,"Lactococcus phage M5938, complete genome",Lactococcus lactis DGCC7271,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031002,"Lactococcus phage M6162, complete genome",Lactococcus lactis DGCC11032,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031044,"Lactococcus phage M6165, complete genome",Lactococcus lactis DGCC11032,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031016,"Lactococcus phage PLgT-1, complete genome",Lactococcus garvieae Lg2,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031020,"Morganella phage vB_MmoM_MP1, complete genome",Morganella sp.,Morganella,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031115,"Morganella phage vB_MmoP_MP2, complete genome",Morganella sp.,Morganella,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031124,"Mycobacterium phage Gardann, complete genome",Mycobacterium smegmatis mc#155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031035,"Mycobacterium phage Gengar, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031111,"Mycobacterium phage Gompeii16, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_031067,"Mycobacterium phage Makemake, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031041,"Mycobacterium phage Papez, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031102,"Mycobacterium phage Sneeze, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031080,"Mycobacterium phage Tonenili, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031068,"Pectobacterium phage PP16, complete genome",Pectobacterium carotovorum subsp. carotovorum PB69,Pectobacterium,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031096,"Pectobacterium phage PP90, complete genome",Pectobacterium atrosepticum PB72,Pectobacterium,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031084,"Propionibacterium phage BruceLethal, complete genome",Propionibacterium acnes ATCC 6919,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031119,"Propionibacterium phage Enoki, complete genome",Propionibacterium acnes ATCC 6919,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031003,"Propionibacterium phage Moyashi, complete genome",Propionibacterium acnes ATCC 6919,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031076,"Propionibacterium phage PFR1, complete genome",Propionibacterium freudenreichii,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031108,"Propionibacterium phage PFR2, complete genome",Propionibacterium freudenreichii,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031005,"Propionibacterium phage QueenBey, complete genome",Propionibacterium acnes ATCC 6919,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031014,"Pseudomonas phage Andromeda, complete genome",Pseudomonas syringae,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031091,"Pseudomonas phage MD8, complete genome",Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031058,"Pseudomonas phage NP1, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_031063,"Pseudomonas phage PEV2, complete genome",Pseudomonas aeruginosa Kutter,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031110,"Pseudomonas phage phiMK, complete genome",Pseudomonas aeruginosa PAO,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031073,"Pseudomonas phage vB_PaeM_MAG1, complete genome",Pseudomonas aeruginosa clinical isolate PA31,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031104,"Pseudomonas phage vB_PaeP_MAG4, complete genome",Pseudomonas aeruginosa clinical isolate PA21,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031059,"Rhodovulum phage vB_RhkS_P1, complete genome",Rhodovulum sp. P5,Rhodovulum,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_031042,"Salmonella phage NR01, complete genome",Salmonella typhimurium,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031129,"Salmonella phage SJ46, complete genome",Salmonella enterica subsp. enterica serovar Indiana,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031026,"Salmonella phage phSE-2, complete genome",Salmonella typhimurium ATCC 13111,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031128,"Salmonella phage vB_SalM_PM10, complete genome",Salmonella typhimurium,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031065,"Salmonella phage vB_SnwM_CGG4-1, complete genome",Salmonella Newport strain C398,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031085,"Shigella phage SHBML-50-1, complete genome",Shigella sonnei,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_030953,"Shigella phage SHFML-11, complete genome",Shigella sonnei,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031011,"Shigella phage SHFML-26, complete genome",Shigella sonnei,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031022,"Shigella phage SHSML-45, complete genome",Shigella sonnei,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031090,"Shigella phage SHSML-52-1, complete genome",Shigella sonnei,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031046,"Staphylococcus phage BP39, complete genome",Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031008,"Staphylococcus phage SLPW, complete genome",Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031069,"Streptococcus virus 9871, complete genome",Streptococcus thermophilus ST64987,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031094,"Streptococcus virus 9872, complete genome",Streptococcus thermophilus ST64987,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031023,"Streptococcus virus 9874, complete genome",Streptococcus thermophilus ST64987,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031078,"Streptomyces phage Nanodon, complete genome",Streptomyces griseus ATCC 10137,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
NC_031101,"Weissella phage WCP30, complete genome",Weissella sp.,Weissella,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_030945,"Bacillus phage BalMu-1 copy 1, complete genome",Bacillus alcalophilus CGMCC 1.3604,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_030920,"Bacillus phage Eldridge, complete genome",Bacillus megaterium,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_030903,"Bacillus phage SPG24 DNA, contig00001 sequence",Bacillus subtilis G24,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_030925,"Bacillus phage Shbh1, complete genome",Bacillus sp. MGK1/ERV9,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_030904,"Bacillus phage vB_BhaS-171, complete genome",Bacillus halmapalus DSM 29712,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_030950,"Clostridium phage phiCT19406A, complete genome",Clostridium tetani ATCC 19406,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NC_030947,"Clostridium phage phiCT19406B, complete genome",Clostridium tetani ATCC 19406,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NC_030949,"Clostridium phage phiCTC2A, complete genome",Clostridium tetani C2,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NC_030951,"Clostridium phage phiCTC2B, complete genome",Clostridium tetani C2,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NC_030936,"Gordonia phage Bachita, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030943,"Gordonia phage Blueberry, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030930,"Gordonia phage Bowser, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030942,"Gordonia phage BritBrat, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030901,"Gordonia phage ClubL, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030941,"Gordonia phage Cozz, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030944,"Gordonia phage Demosthenes, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030902,"Gordonia phage GMA1, complete genome",Gordonia malaquae strain BEN700,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030939,"Gordonia phage GMA4, complete genome",Gordonia malaquae strain BEN700,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030907,"Gordonia phage GMA5, complete genome",Gordonia malaquae BEN700,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030906,"Gordonia phage GMA6, complete genome",Gordonia malaquae CON67,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030935,"Gordonia phage GRU3, complete genome",Gordonia rubropertincta strain CON38,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030932,"Gordonia phage Gsput1, complete genome",Gordonia sputi,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030914,"Gordonia phage Kvothe, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030912,"Gordonia phage McGonagall, complete genome",Gordonia neofelifaecis NRRL 59395,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030924,"Gordonia phage Monty, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030917,"Gordonia phage OneUp, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030915,"Gordonia phage Orchid, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030927,"Gordonia phage Splinter, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030921,"Gordonia phage Utz, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_030911,"Gordonia phage Vendetta, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030913,"Gordonia phage Wizard, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030905,"Gordonia phage Woes, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030929,"Pseudomonas phage JBD44, complete genome",Pseudomonas aeruginosa PA14,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_030908,"Pseudomonas phage JBD69, complete genome",Pseudomonas aeruginosa PA14,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_030918,"Pseudomonas phage JBD93, complete genome",Pseudomonas aeruginosa PA14,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_030910,"Pseudomonas phage K5, complete genome",Pseudomonas aeruginosa PAK,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_030923,"Pseudomonas phage YMC11/06/C171_PPU_BP, complete genome",Pseudomonas putida YMC11/06/C171,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_030909,"Pseudomonas phage YMC11/07/P54_PAE_BP, complete genome",carbapenem-resistant Pseudomonas aeruginosa,NA,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_030931,"Pseudomonas phage phi2, complete genome",Pseudomonas aeruginosa WH-SGI-V-07173,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_030940,"Pseudomonas phage phi3, complete genome",Pseudomonas aeruginosa WH-SGI-V-07174,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_030934,"Pseudomonas phage vB_PsyM_KIL1, complete genome",Pseudomonas syringae pv. porri LMG 28495,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_030948,"Ralstonia phage RSP15 DNA, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_030919,"Salmonella phage 118970_sal4, complete genome",Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_030933,"Staphylococcus phage Stau2, complete genome",Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_030946,"Streptococcus phage phiARI0923, complete genome",Streptococcus pneumoniae 10B00617,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_030916,"Tsukamurella phage TPA4, complete genome",Tsukamurella paurometabola strain CON55,Tsukamurella,Tsukamurellaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030695,"Gordonia phage KatherineG, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030694,"Gordonia phage Rosalind, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030696,"Gordonia phage Smoothie, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030698,"Gordonia phage Soups, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_030652,"Staphylococcus phage 80, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_030472,"Chimpanzee faeces associated microphage 1 isolate CPNG_29298, complete genome",Pan troglodytes,Pan,Hominidae,Primates,Mammalia,Chordata,Eukaryota
NC_030458,"Chimpanzee faeces associated microphage 3 isolate CPNG_29300, complete genome",Pan troglodytes,Pan,Hominidae,Primates,Mammalia,Chordata,Eukaryota
NC_030476,"Chimpanzee faeces associated microphage 2 isolate CPNG_29299, complete genome",Pan troglodytes,Pan,Hominidae,Primates,Mammalia,Chordata,Eukaryota
NC_031937,"Escherichia phage LM33_P1 genome assembly, chromosome: I",Escherichia coli strain LM33,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029075,"Achromobacter phage JWF, complete genome",Achromobacter xylosoxidans,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_029106,"Achromobacter phage phiAxp-2, complete genome",Achromobacter xylosoxidans,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_029069,"Bacillus phage BM5, complete genome",Bacillus megaterium,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_029121,"Bacillus phage Bp8p-C, complete genome",Bacillus pumilus GR8,NA,NA,NA,NA,NA,NA
NC_029104,"Brevibacillus phage Jimmer1, complete genome",Brevibacillus laterosporus,Brevibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_029092,"Caulobacter phage Percy, complete genome",Caulobacter sp.,Caulobacter,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_029102,"Enterobacter phage E-2, complete genome",Enterobacter cloacae,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029078,"Erysipelothrix phage SE-1, complete genome",Erysipelothrix rhusiopathiae,Erysipelothrix,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes,Bacteria
NC_029091,"Escherichia phage APCEc01, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029073,"Geobacillus virus E3, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_029060,"Gordonia phage GordDuk1, complete genome",Gordonia sp.,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_029074,"Gordonia phage GordTnk2, complete genome",Gordonia sp.,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_029099,"Klebsiella phage KP36, complete genome",Klebsiella pneumoniae KP36,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029058,"Lactobacillus phage LfeInf, complete genome",Lactobacillus fermentum,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_029068,"Lactobacillus phage LfeSau, complete genome",Lactobacillus fermentum,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_029118,"Lactococcus phage GE1, complete genome",Lactococcus garvieae INS1,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_029079,"Mycobacterium phage Dusk, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_029059,"Mycobacterium phage Edtherson, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_029093,"Mycobacterium phage Mindy, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_029077,"Mycobacterium phage VohminGhazi, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_029084,"Bacteriophage Rani, complete genome",Paenibacillus larvae ATCC 9545,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_029081,"Pectobacterium phage Peat1, complete genome",Pectobacterium atrosepticum,Pectobacterium,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029094,"Pseudoalteromonas phage H101, complete genome",Pseudoalteromonas marina,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029100,"Pseudoalteromonas phage Pq0, complete genome",Pseudoalteromonas sp. Bq0,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029066,"Pseudomonas phage PS-1 DNA, complete sequence",Pseudomonas sp. 1-1-1b,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029083,"Pseudomonas phage PaoP5, complete genome",Pseudomonas aeruginosa PAO1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029101,"Pseudomonas phage YH30, complete genome",Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029107,"Ralstonia phage RS138 DNA, complete genome",Ralstonia solanacearum,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_029097,"Rhodobacter phage RcTitan, complete genome",Rhodobacter capsulatus YW1,Rhodobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_029061,"Rhodoferax phage P26218, complete genome",Rhodoferax sp. IMCC26218,Rhodoferax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_029072,"Salmonella phage 19, complete genome",Salmonella paratyphi A,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029071,"Salmonella phage 36, complete genome",Salmonella typhimurium,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029120,"Shigella phage 75/02 Stx, complete genome",Shigella sonnei 75/02,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029080,"Staphylococcus phage 812, complete genome",Staphylococcus,NA,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_029119,"Staphylococcus phage SPbeta-like, complete genome",Staphylococcus epidermidis 36-1,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_029098,"Streptomyces phage Jay2Jay, complete genome",Streptomyces lividans JI1326,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
NC_029067,Vibrio phage eugene 12A10 genomic sequence,Vibrio sp. 12A10,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029057,"Vibrio phage qdvp001, partial genome",Vibrio parahaemolyticus ATCC 17802,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029050,"Salmonella phage 21, complete genome",Salmonella paratyphi A,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029046,"Sinorhizobium phage phiLM21, complete genome",Sinorhizobium sp. LM21,Sinorhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_029047,"Verrucomicrobia phage P8625, complete genome",Puniceicoccales sp. IMCC8625,NA,NA,NA,Opitutae,Verrucomicrobia,Bacteria
NC_029045,"Salmonella phage 37, complete genome",Salmonella gallinarum,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029044,"Mycobacterium phage Breeniome, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_029043,"Mycobacterium phage SweetiePie, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_029042,"Salmonella phage 38, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_024206,"Lactobacillus phage phi jlb1, complete genome",Lactobacillus gasseri ADH,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_024329,"Podovirus Lau218 strain Abe, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_028908,"Achromobacter phage phiAxp-3, complete genome",Achromobacter xylosoxidans,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_028987,"Acinetobacter phage vB_AbaM_IME200, complete genome",Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029033,"Achromobacter phage phiAxp-1, complete genome",Achromobacter xylosoxidans A22732,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_028834,"Achromobacter phage 83-24, complete genome",Achromobacter xylosoxidans,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_028768,"Achromobacter phage JWX, complete genome",Achromobacter xylosoxidans,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_028848,"Acinetobacter phage Fri1, complete genome",Acinetobacter baumannii 28,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
